"pessoa_idade";"salario_ano";"propriedade_sit";"ano_trabalhado";"motivo_emprestimo";"pontuacao_emprestimos";"vl_total";"tx_juros";"inadimplencia";"tx_renda_divida";"hst_inadimplencia";"hst_primeiro_credito"
23;50000;"Alugada";2;"Educativo";"C";9600;14.26;"0";0.19;"0";3
25;118189;"Hipotecada";9;"Empreendimento";"B";25000;11.49;"0";0.21;"0";3
21;0;"Própria";0;"Médico";"A";4000;11.58;"";0.07;"0";11
27;32000;"Alugada";11;"Educativo";"C";6000;14.27;"0";0.19;"0";8
26;24000;"Alugada";0;"Educativo";"D";1500;14.54;"1";0.06;"1";4
29;45000;"Hipotecada";4;"Pessoal";"D";15000;18.49;"0";0.33;"0";6
22;34560;"Alugada";1;"Médico";"E";2100;17.04;"1";0.06;"0";3
24;115000;"Alugada";8;"Educativo";"A";12000;6.54;"0";0.1;"0";3
36;32004;"Alugada";3;"Empreendimento";"B";5000;10.62;"0";0.16;"0";15
28;23000;"Alugada";0;"Médico";"B";6000;8.88;"0";0.26;"0";5
27;104550;"Hipotecada";0;"Médico";"F";23000;18.43;"1";0.19;"0";9
23;100000;"Hipotecada";2;"Pessoal";"C";6850;13.47;"0";0.07;"0";4
23;67752;"Alugada";3;"Educativo";"A";7000;6.62;"0";0.1;"0";4
28;55704;"Hipotecada";12;"Educativo";"A";8400;7.51;"0";0.15;"0";6
22;44052;"Alugada";3;"Pagamento de débitos";"";0;11.26;"0";0.13;"0";7
23;36000;"Alugada";0;"Educativo";"C";3000;12.29;"1";0.08;"0";2
22;49920;"Alugada";6;"Pagamento de débitos";"B";10000;11.14;"0";0.2;"0";2
26;28000;"Hipotecada";8;"Pessoal";"A";4500;0.0;"1";0.16;"0";2
23;42000;"Alugada";3;"Melhora do lar";"D";8000;15.58;"1";0.19;"0";2
26;45000;"Alugada";4;"Médico";"D";10000;14.11;"0";0.22;"1";2
29;57000;"Própria";5;"Médico";"B";5000;11.86;"0";0.09;"0";10
24;39996;"Hipotecada";4;"Educativo";"C";5000;14.82;"0";0.13;"1";3
28;168000;"Própria";12;"Médico";"A";6800;0.0;"0";0.04;"0";7
22;49000;"Hipotecada";2;"Empreendimento";"B";8500;12.53;"0";0.17;"0";3
34;70000;"Hipotecada";6;"Educativo";"E";22000;19.91;"0";0.31;"1";8
28;46097;"Hipotecada";12;"Pagamento de débitos";"B";6000;10.75;"0";0.13;"0";8
26;45900;"Hipotecada";10;"Pessoal";"C";11500;13.79;"0";0.25;"0";4
29;54000;"Alugada";13;"Pessoal";"D";12000;14.74;"0";0.22;"1";10
22;32400;"Alugada";4;"Empreendimento";"D";4000;0.0;"1";0.12;"1";2
45;139380;"Própria";4;"Melhora do lar";"A";9000;7.51;"0";0.06;"0";12
36;43000;"Alugada";6;"Pagamento de débitos";"C";4000;13.92;"0";0.09;"1";14
34;96900;"Alugada";1;"Pagamento de débitos";"A";4800;5.42;"0";0.05;"0";10
24;63996;"Hipotecada";5;"Empreendimento";"B";6000;10.75;"0";0.09;"0";3
24;75000;"Hipotecada";8;"Educativo";"A";5000;6.76;"0";0.07;"0";4
22;43000;"Alugada";5;"Empreendimento";"B";2400;10.99;"0";0.06;"0";3
30;72000;"Hipotecada";14;"Melhora do lar";"B";3000;9.99;"0";0.04;"0";9
22;66000;"Hipotecada";0;"Empreendimento";"A";3000;7.51;"0";0.05;"0";3
22;45000;"Alugada";0;"Médico";"B";3500;12.53;"0";0.08;"0";3
25;88500;"Alugada";3;"Empreendimento";"C";7200;13.47;"0";0.08;"1";2
22;32000;"Alugada";2;"Educativo";"B";2000;12.53;"1";0.06;"0";2
23;67700;"-";7;"Educativo";"";2700;11.86;"0";0.02;"0";2
27;53000;"Hipotecada";6;"Empreendimento";"A";5000;0.0;"0";0.09;"0";7
28;42000;"Alugada";9;"Educativo";"A";2500;8.49;"0";0.06;"0";8
22;51000;"Hipotecada";3;"Empreendimento";"C";13000;13.48;"0";0.25;"1";3
31;46800;"Hipotecada";14;"Pessoal";"B";5500;0.0;"0";0.12;"0";10
23;35500;"Alugada";5;"Educativo";"B";3500;10.99;"0";0.1;"0";3
31;80000;"Hipotecada";0;"Pessoal";"B";15000;10.95;"0";0.19;"0";10
34;118000;"Hipotecada";1;"Educativo";"C";25000;11.78;"1";0.21;"0";7
21;85000;"Alugada";1;"Empreendimento";"C";12000;11.97;"0";0.14;"0";2
26;30000;"Alugada";3;"Médico";"D";3600;15.99;"1";0.12;"0";4
24;160000;"Hipotecada";6;"Empreendimento";"B";17000;9.25;"0";0.11;"0";3
33;92000;"Hipotecada";18;"Pessoal";"A";12000;5.79;"0";0.13;"0";5
26;55000;"Alugada";3;"Empreendimento";"C";5000;13.48;"0";0.09;"1";4
25;50000;"Alugada";0;"Melhora do lar";"B";6400;9.91;"0";0.13;"0";4
24;70000;"Hipotecada";1;"Educativo";"B";9000;11.83;"0";0.13;"0";3
31;36996;"Alugada";5;"Pessoal";"A";8000;7.49;"0";0.22;"0";6
22;42000;"Hipotecada";6;"Educativo";"C";15000;13.49;"0";0.36;"1";4
26;86004;"Alugada";0;"Educativo";"C";12000;12.99;"0";0.14;"0";2
27;115000;"Hipotecada";0;"Educativo";"A";12000;7.29;"0";0.1;"0";6
33;103560;"Alugada";5;"Educativo";"E";14000;17.56;"0";0.14;"0";5
26;20004;"Hipotecada";4;"Melhora do lar";"B";3600;0.0;"0";0.18;"0";2
22;34000;"Alugada";0;"Melhora do lar";"D";1200;14.61;"1";0.04;"1";4
23;80000;"Hipotecada";7;"Pessoal";"A";4000;7.51;"0";0.05;"0";3
26;70000;"Hipotecada";6;"Melhora do lar";"B";12000;11.26;"0";0.17;"0";4
41;90000;"Própria";12;"Empreendimento";"A";8000;7.51;"0";0.09;"0";16
25;26400;"Hipotecada";1;"Melhora do lar";"B";4000;10.74;"0";0.15;"0";3
30;108800;"Hipotecada";2;"Médico";"E";15000;16.35;"1";0.12;"0";8
22;65004;"Hipotecada";5;"Empreendimento";"A";12500;6.03;"0";0.19;"0";4
21;20000;"Alugada";3;"Pessoal";"A";4400;6.91;"0";0.22;"0";4
23;120000;"Hipotecada";4;"Educativo";"B";2400;12.42;"0";0.02;"0";3
24;102000;"Hipotecada";7;"Médico";"B";7200;0.0;"0";0.07;"0";3
38;42552;"Alugada";3;"Pessoal";"C";8400;13.49;"0";0.2;"0";14
24;140300;"Hipotecada";6;"Médico";"B";6000;11.14;"0";0.04;"0";3
26;112000;"Hipotecada";5;"Pagamento de débitos";"B";20000;12.53;"1";0.18;"0";4
42;39000;"Alugada";4;"Melhora do lar";"B";19750;10.65;"1";0.51;"0";14
22;85000;"Hipotecada";0;"Empreendimento";"B";12000;0.0;"0";0.14;"0";3
23;105000;"Hipotecada";3;"Médico";"B";20000;11.48;"0";0.19;"0";2
22;25200;"Alugada";7;"Médico";"D";7500;14.96;"1";0.3;"0";3
27;50000;"Alugada";7;"Pagamento de débitos";"C";5000;13.61;"0";0.1;"1";8
32;55000;"Alugada";4;"Melhora do lar";"C";8000;0.0;"0";0.15;"0";8
35;29400;"Alugada";0;"Empreendimento";"B";6150;12.21;"0";0.21;"0";5
48;120000;"Hipotecada";18;"Melhora do lar";"C";3600;0.0;"0";0.03;"0";16
25;63128;"Alugada";0;"Empreendimento";"A";1500;7.49;"0";0.02;"0";2
21;33000;"Alugada";5;"Empreendimento";"C";3375;13.49;"0";0.1;"1";3
25;35000;"Hipotecada";6;"Pessoal";"A";5000;5.99;"0";0.14;"0";4
27;48000;"Alugada";0;"Pagamento de débitos";"B";10000;10.62;"0";0.21;"0";7
30;67000;"Alugada";2;"Empreendimento";"A";9250;0.0;"0";0.14;"0";7
25;57000;"Alugada";2;"Educativo";"A";9500;6.17;"0";0.17;"0";4
25;136112;"Hipotecada";9;"Melhora do lar";"E";15600;19.42;"1";0.11;"0";2
27;20000;"Alugada";2;"Médico";"B";3600;9.25;"0";0.18;"0";7
40;41760;"Hipotecada";0;"Médico";"A";18000;5.79;"0";0.43;"0";14
23;54000;"Alugada";3;"Empreendimento";"A";5500;8.94;"0";0.1;"0";3
26;220836;"Hipotecada";10;"Pessoal";"B";9000;11.26;"0";0.04;"0";2
23;85000;"Hipotecada";0;"Educativo";"B";24000;10.74;"0";0.28;"0";2
28;110000;"Hipotecada";8;"Melhora do lar";"A";15000;6.54;"0";0.14;"0";6
39;48000;"Hipotecada";0;"Pagamento de débitos";"A";3000;5.42;"0";0.06;"0";11
38;50400;"Alugada";5;"Pagamento de débitos";"B";10100;11.49;"0";0.2;"0";16
23;24000;"Alugada";0;"Educativo";"B";2500;11.71;"0";0.1;"0";2
26;18000;"Alugada";1;"Empreendimento";"C";2400;13.06;"1";0.13;"1";2
28;40000;"Própria";2;"Médico";"A";3600;6.99;"0";0.09;"0";10
29;102000;"Própria";10;"Médico";"B";18000;9.33;"0";0.18;"0";7
25;41508;"Alugada";0;"Médico";"C";6400;14.79;"0";0.15;"0";3
0;64000;"Alugada";9;"Melhora do lar";"C";2600;11.49;"0";0.04;"0";4
32;39314;"Alugada";16;"Pagamento de débitos";"C";3000;15.23;"1";0.08;"0";7
25;82000;"Hipotecada";7;"Pessoal";"C";7500;12.72;"0";0.09;"0";4
23;39689;"Própria";1;"Empreendimento";"C";13000;13.57;"0";0.33;"1";2
25;80000;"Hipotecada";5;"Pagamento de débitos";"A";18000;5.79;"0";0.23;"0";2
31;85000;"Alugada";0;"Pessoal";"B";25000;11.89;"0";0.29;"0";6
30;66000;"Hipotecada";2;"-";"B";0;14.27;"0";0.15;"1";7
41;28800;"Alugada";0;"Médico";"C";9600;13.49;"1";0.33;"0";16
22;41784;"Hipotecada";6;"Pagamento de débitos";"A";5000;6.03;"0";0.12;"0";2
40;62400;"Hipotecada";7;"Educativo";"F";7000;19.13;"0";0.11;"0";12
23;31164;"Hipotecada";7;"Pagamento de débitos";"A";4500;6.62;"0";0.14;"0";2
23;69996;"Alugada";4;"Pessoal";"C";15000;13.43;"0";0.21;"1";4
35;92000;"Hipotecada";11;"Empreendimento";"A";12000;6.99;"0";0.13;"0";8
26;72000;"Hipotecada";3;"Melhora do lar";"A";10000;0.0;"0";0.14;"0";3
34;23000;"Própria";2;"Pessoal";"A";2500;0.0;"0";0.11;"0";7
26;53000;"Alugada";11;"Educativo";"C";4200;14.22;"0";0.08;"0";4
27;55000;"Hipotecada";3;"Pessoal";"A";11000;7.49;"0";0.2;"0";10
28;140000;"Alugada";0;"Melhora do lar";"A";7400;6.03;"0";0.05;"0";6
25;96000;"Alugada";1;"Melhora do lar";"B";12000;9.99;"0";0.13;"0";4
24;50000;"Hipotecada";7;"Empreendimento";"D";1000;14.42;"0";0.02;"0";3
23;24000;"Alugada";4;"Educativo";"A";6000;5.42;"0";0.25;"0";4
22;48000;"Hipotecada";5;"Educativo";"A";9600;7.51;"0";0.2;"0";4
23;33300;"Própria";2;"Empreendimento";"C";9000;13.57;"0";0.27;"1";4
23;45000;"Alugada";0;"Pagamento de débitos";"B";7800;12.69;"0";0.17;"0";4
37;43200;"Alugada";5;"Empreendimento";"B";18000;8.88;"1";0.42;"0";16
25;78000;"Hipotecada";0;"Melhora do lar";"B";25000;9.64;"0";0.32;"0";4
28;42000;"Alugada";4;"Médico";"B";3000;10.25;"0";0.07;"0";10
29;40000;"Alugada";7;"Médico";"C";7500;12.73;"0";0.19;"1";9
34;130000;"Alugada";18;"Empreendimento";"A";16000;6.03;"0";0.12;"0";6
49;15000;"Alugada";6;"Médico";"B";2400;9.91;"1";0.16;"0";13
43;64000;"Hipotecada";6;"Médico";"A";15000;7.88;"0";0.23;"0";17
24;42000;"Alugada";8;"Médico";"A";5000;5.42;"0";0.12;"0";2
25;60000;"Hipotecada";7;"Pagamento de débitos";"A";8000;5.79;"0";0.13;"0";2
26;48000;"Alugada";4;"Médico";"B";3000;10.14;"0";0.06;"0";3
33;34800;"Alugada";17;"Melhora do lar";"B";14125;10.37;"1";0.41;"0";8
25;108000;"Hipotecada";10;"Melhora do lar";"B";24250;10.75;"0";0.22;"0";2
22;30000;"Alugada";7;"Empreendimento";"B";10000;11.14;"1";0.33;"0";2
30;36000;"Própria";6;"Médico";"B";10000;12.69;"0";0.28;"0";10
23;76268;"Hipotecada";7;"Pagamento de débitos";"B";15000;11.89;"1";0.2;"0";2
24;75200;"Própria";5;"Educativo";"A";6500;7.14;"0";0.09;"0";2
26;80040;"Hipotecada";6;"Pessoal";"A";10000;0.0;"1";0.12;"0";2
25;86000;"Alugada";10;"Melhora do lar";"D";10000;0.0;"0";0.12;"0";2
25;55000;"Hipotecada";9;"Empreendimento";"C";3600;11.34;"0";0.07;"1";4
22;42000;"Alugada";4;"Médico";"C";7000;13.61;"0";0.17;"0";2
27;90000;"Hipotecada";5;"Melhora do lar";"A";15000;7.49;"0";0.17;"0";5
22;50000;"Hipotecada";6;"Empreendimento";"A";6800;6.92;"0";0.14;"0";4
26;43000;"Alugada";0;"Pessoal";"A";2125;8.9;"0";0.05;"0";3
23;35000;"Alugada";6;"Pagamento de débitos";"B";13475;10.65;"1";0.39;"0";3
28;113000;"Alugada";9;"Pagamento de débitos";"C";19975;13.92;"1";0.18;"0";9
22;69000;"Hipotecada";4;"Educativo";"D";15000;14.42;"0";0.22;"1";2
25;122000;"Hipotecada";8;"Pagamento de débitos";"C";10000;13.57;"0";0.08;"1";4
22;26000;"Alugada";1;"Pagamento de débitos";"B";10000;10.65;"1";0.38;"0";3
34;39600;"Hipotecada";16;"Pessoal";"A";2400;6.03;"0";0.06;"0";9
23;54096;"Alugada";2;"Pessoal";"B";4900;0.0;"0";0.09;"0";2
24;41600;"Alugada";0;"Médico";"B";8000;10.59;"0";0.19;"0";4
32;61000;"-";0;"Pagamento de débitos";"B";2300;10.99;"0";0.08;"0";2
26;54000;"Hipotecada";9;"Pessoal";"A";10800;7.88;"0";0.2;"0";3
24;61000;"Alugada";2;"Melhora do lar";"B";20000;12.18;"1";0.33;"0";4
23;48000;"Alugada";3;"Pessoal";"A";12000;6.03;"0";0.25;"0";2
23;35400;"Alugada";4;"Pagamento de débitos";"B";9600;11.89;"0";0.27;"0";2
26;56000;"Alugada";7;"Médico";"E";22000;17.19;"1";0.39;"0";3
29;52000;"Alugada";9;"Empreendimento";"A";10000;8.0;"0";0.19;"0";6
25;170000;"Hipotecada";9;"Médico";"B";25000;10.75;"0";0.15;"0";2
26;95000;"Alugada";3;"Médico";"C";12500;12.61;"0";0.13;"0";2
31;190000;"Hipotecada";4;"Pagamento de débitos";"A";9000;6.03;"0";0.05;"0";7
27;54000;"Hipotecada";11;"Médico";"A";4000;0.0;"0";0.07;"0";8
22;44004;"Hipotecada";3;"Educativo";"D";9000;14.11;"1";0.2;"0";4
27;49200;"Hipotecada";4;"Médico";"A";2500;5.42;"0";0.05;"0";10
28;201000;"Própria";4;"Empreendimento";"A";12000;0.0;"0";0.06;"0";8
50;56100;"Alugada";3;"Médico";"D";6000;16.49;"1";0.09;"1";14
21;22600;"Alugada";3;"Educativo";"C";6000;12.23;"0";0.27;"0";4
33;180000;"Alugada";0;"Médico";"A";7000;7.74;"0";0.04;"0";6
32;114000;"Alugada";17;"Médico";"B";6000;10.37;"0";0.05;"0";9
29;17004;"Alugada";8;"Melhora do lar";"A";2200;9.32;"1";0.13;"0";5
30;23000;"Alugada";3;"Pessoal";"C";6500;14.72;"0";0.28;"0";10
22;23000;"Alugada";2;"Educativo";"C";7750;0.0;"1";0.34;"1";4
22;112000;"Hipotecada";2;"Pessoal";"A";4000;8.9;"0";0.04;"0";3
30;70000;"Alugada";0;"Pessoal";"C";15000;13.61;"0";0.21;"1";8
22;75000;"Alugada";2;"Educativo";"B";19600;12.42;"0";0.26;"0";4
22;50508;"Alugada";5;"Empreendimento";"A";6000;5.42;"0";0.12;"0";3
30;67202;"Alugada";4;"Pagamento de débitos";"A";10000;0.0;"0";0.15;"0";7
22;50000;"Própria";3;"Educativo";"A";6000;8.94;"0";0.12;"0";2
30;60000;"Hipotecada";0;"Pagamento de débitos";"C";6000;12.73;"0";0.1;"1";6
28;95000;"Alugada";5;"Educativo";"B";8000;12.42;"0";0.08;"0";6
32;4200;"Alugada";0;"Pessoal";"C";1200;12.73;"1";0.29;"0";9
21;26400;"Alugada";0;"Pagamento de débitos";"C";3600;14.27;"0";0.14;"1";3
23;30000;"Hipotecada";4;"Empreendimento";"D";9500;15.31;"1";0.32;"0";2
34;44000;"Alugada";0;"Educativo";"C";3400;13.49;"0";0.08;"1";8
25;79000;"Hipotecada";3;"Melhora do lar";"A";20000;6.91;"0";0.25;"0";3
34;62000;"Hipotecada";18;"Melhora do lar";"B";28000;11.71;"0";0.45;"0";10
24;37000;"Alugada";3;"Educativo";"B";13000;10.25;"1";0.35;"0";4
31;38400;"Alugada";3;"Educativo";"C";2200;13.06;"0";0.06;"1";10
24;88000;"Hipotecada";4;"Médico";"B";6000;9.91;"0";0.07;"0";2
23;38376;"Própria";0;"Empreendimento";"C";8400;13.8;"0";0.22;"1";2
27;28500;"Hipotecada";3;"Empreendimento";"C";1600;13.49;"1";0.06;"0";8
23;54000;"Alugada";1;"Empreendimento";"B";20000;11.83;"1";0.37;"0";2
23;36000;"Alugada";1;"Médico";"C";5000;13.22;"0";0.14;"0";4
25;46000;"Alugada";8;"Pagamento de débitos";"C";18250;14.26;"1";0.4;"0";3
35;60350;"Hipotecada";15;"Médico";"E";25000;16.82;"1";0.35;"0";5
34;125000;"Hipotecada";4;"Médico";"A";12000;8.94;"0";0.1;"0";9
27;73000;"Hipotecada";11;"Pagamento de débitos";"A";13000;6.03;"0";0.18;"0";9
26;46800;"Alugada";6;"Pagamento de débitos";"B";7500;9.99;"0";0.16;"0";3
23;60000;"Hipotecada";0;"Educativo";"B";5600;10.99;"0";0.09;"0";2
0;74000;"Hipotecada";2;"Médico";"";4000;6.76;"0";0.06;"0";2
32;84456;"Alugada";5;"Pagamento de débitos";"B";10000;9.88;"0";0.12;"0";10
24;165000;"Hipotecada";5;"Pessoal";"B";20000;10.37;"0";0.12;"0";4
41;60000;"Hipotecada";3;"Pessoal";"E";16800;17.99;"0";0.28;"1";16
26;52000;"Hipotecada";6;"Pessoal";"B";3300;10.99;"0";0.06;"0";2
23;30000;"Alugada";0;"Educativo";"B";4275;11.86;"0";0.14;"0";4
23;42000;"Alugada";2;"-";"D";0;10.37;"0";0.19;"0";2
22;127500;"Hipotecada";2;"Médico";"A";15000;7.49;"0";0.12;"0";4
24;31944;"Alugada";8;"Médico";"C";7200;13.79;"0";0.23;"0";2
27;144000;"Hipotecada";4;"Pagamento de débitos";"C";21000;13.57;"0";0.15;"1";8
25;62000;"Hipotecada";5;"Pagamento de débitos";"A";10000;7.88;"0";0.16;"0";3
29;50000;"Hipotecada";13;"Médico";"B";13650;10.99;"0";0.27;"0";9
31;34000;"Hipotecada";3;"Educativo";"A";13500;7.66;"0";0.4;"0";10
25;65000;"Alugada";9;"Educativo";"E";15000;16.32;"0";0.23;"0";2
23;50000;"Alugada";0;"Médico";"C";5600;11.03;"0";0.11;"1";4
27;80800;"Hipotecada";3;"Pessoal";"C";3000;0.0;"0";0.04;"0";10
34;148080;"Alugada";0;"Melhora do lar";"A";20000;8.9;"0";0.14;"0";6
25;23920;"Hipotecada";0;"Médico";"D";6000;14.59;"1";0.25;"1";2
30;85000;"Alugada";5;"Empreendimento";"D";5000;15.05;"0";0.06;"0";9
36;150000;"Própria";8;"Empreendimento";"A";7200;6.92;"0";0.05;"0";13
24;50000;"Hipotecada";3;"Melhora do lar";"B";12000;0.0;"0";0.24;"0";3
29;40000;"Própria";0;"Médico";"A";5000;5.42;"0";0.13;"0";10
22;64000;"Própria";6;"Educativo";"D";15000;17.49;"0";0.23;"1";4
24;13288;"Alugada";5;"Empreendimento";"D";2400;17.27;"1";0.18;"0";2
25;59000;"Hipotecada";5;"Melhora do lar";"A";6000;6.99;"0";0.1;"0";3
28;12000;"Própria";0;"Médico";"B";2000;10.75;"1";0.17;"0";6
22;45000;"Própria";4;"Pessoal";"A";7000;6.62;"0";0.16;"0";3
32;37000;"Hipotecada";3;"Pessoal";"B";3000;11.49;"0";0.08;"0";7
33;114400;"Hipotecada";3;"Pessoal";"C";20000;13.48;"0";0.17;"0";5
54;95000;"Hipotecada";3;"Pessoal";"B";6500;10.65;"0";0.07;"0";26
25;42264;"Alugada";3;"Pagamento de débitos";"B";3000;10.71;"0";0.07;"0";2
24;45000;"Alugada";3;"Pagamento de débitos";"B";7200;10.65;"0";0.16;"0";4
22;26500;"Alugada";3;"Pagamento de débitos";"A";1900;7.29;"1";0.07;"0";3
28;43680;"Alugada";3;"Educativo";"C";4475;15.27;"0";0.1;"0";8
28;62000;"Alugada";3;"Pagamento de débitos";"C";9300;11.72;"0";0.15;"1";5
30;76000;"Alugada";3;"Pagamento de débitos";"B";12000;10.99;"0";0.16;"0";10
54;170000;"Hipotecada";12;"Pessoal";"A";11000;6.62;"0";0.06;"0";20
23;70560;"Alugada";1;"Médico";"A";9600;7.9;"0";0.14;"0";4
36;160000;"Hipotecada";5;"Educativo";"C";10000;12.73;"0";0.06;"1";15
28;40000;"Alugada";0;"Médico";"B";12000;6.62;"0";0.17;"";11
34;56000;"Alugada";16;"Pessoal";"A";5000;8.9;"0";0.09;"0";8
36;60000;"Alugada";1;"Pessoal";"C";7200;0.0;"0";0.12;"1";12
35;75000;"Própria";2;"Médico";"B";25000;10.99;"0";0.33;"0";7
35;72000;"Hipotecada";2;"Educativo";"E";20000;16.7;"1";0.28;"1";9
21;21216;"Hipotecada";5;"Melhora do lar";"D";4500;0.0;"1";0.21;"1";2
26;58000;"Hipotecada";0;"Empreendimento";"B";11600;11.99;"0";0.2;"0";3
27;65000;"Hipotecada";11;"Melhora do lar";"E";24000;17.74;"0";0.37;"1";6
24;50000;"Alugada";5;"Médico";"C";6000;14.79;"0";0.12;"0";4
21;18000;"Alugada";5;"Melhora do lar";"B";7000;11.14;"1";0.39;"0";4
24;70399;"Alugada";0;"Pagamento de débitos";"A";1000;8.59;"0";0.01;"0";2
27;100000;"Hipotecada";0;"Empreendimento";"C";16000;0.0;"0";0.16;"1";6
33;240000;"Própria";15;"Pessoal";"C";15000;13.16;"0";0.06;"1";10
25;150000;"Hipotecada";9;"Melhora do lar";"B";20000;8.88;"0";0.13;"0";4
32;39000;"Hipotecada";4;"Empreendimento";"A";16700;7.51;"0";0.43;"0";8
28;36000;"Hipotecada";0;"Empreendimento";"D";6000;15.21;"0";0.17;"0";7
22;24000;"Alugada";1;"Melhora do lar";"A";9250;8.94;"1";0.39;"0";2
23;75000;"Hipotecada";5;"Educativo";"A";31825;7.9;"0";0.42;"0";2
43;36000;"Alugada";1;"Médico";"A";10000;8.94;"0";0.28;"0";11
29;25368;"Alugada";0;"Melhora do lar";"C";10000;11.34;"1";0.39;"0";5
25;75000;"Hipotecada";5;"Melhora do lar";"A";3000;7.51;"0";0.04;"0";4
32;76254;"Alugada";3;"Melhora do lar";"B";14000;10.38;"0";0.18;"0";5
37;56500;"Hipotecada";4;"Educativo";"B";10000;0.0;"0";0.18;"0";13
31;40000;"Alugada";4;"Educativo";"A";7200;9.63;"0";0.18;"0";8
23;58500;"Hipotecada";6;"Médico";"A";4000;8.0;"0";0.07;"0";2
26;68399;"Hipotecada";7;"Pessoal";"A";10500;6.91;"0";0.15;"0";3
31;65000;"Hipotecada";15;"Médico";"B";8000;11.49;"0";0.12;"0";5
34;44000;"Alugada";0;"Educativo";"D";20000;14.96;"";0.21;"0";4
30;110000;"Hipotecada";0;"Pessoal";"B";12000;10.74;"0";0.11;"0";8
36;155000;"Hipotecada";9;"Médico";"A";30000;7.9;"0";0.19;"0";14
24;37500;"Hipotecada";2;"Pagamento de débitos";"A";5600;8.94;"0";0.15;"0";4
27;80000;"Hipotecada";11;"Pessoal";"A";16000;6.91;"0";0.2;"0";5
23;14400;"Alugada";0;"Educativo";"B";1100;11.99;"0";0.08;"0";4
28;54000;"Hipotecada";12;"Pagamento de débitos";"A";11500;7.88;"0";0.21;"0";6
0;44966;"Alugada";3;"-";"A";21000;11.99;"0";0.3;"0";4
24;190000;"Hipotecada";6;"Pessoal";"A";5000;5.42;"0";0.03;"0";2
23;144000;"Alugada";0;"Educativo";"B";24250;11.83;"0";0.17;"0";3
28;44500;"Hipotecada";4;"Empreendimento";"A";6000;8.0;"0";0.13;"0";9
26;34000;"Hipotecada";5;"Pessoal";"A";5000;5.79;"0";0.15;"0";4
23;70000;"Própria";7;"Educativo";"C";16000;14.35;"0";0.23;"0";3
25;31500;"Alugada";8;"Pagamento de débitos";"A";14850;8.9;"1";0.47;"0";4
23;126000;"Alugada";0;"Pessoal";"C";8000;13.23;"0";0.06;"0";3
24;50000;"Hipotecada";7;"Melhora do lar";"C";6000;13.99;"0";0.12;"1";4
39;97000;"Alugada";15;"Pagamento de débitos";"B";3000;9.25;"0";0.03;"0";13
25;33600;"Alugada";6;"Médico";"B";5600;9.25;"0";0.17;"0";3
26;41682;"Hipotecada";7;"Pagamento de débitos";"C";18000;13.22;"1";0.43;"1";3
22;38000;"Alugada";0;"Educativo";"C";3000;10.28;"0";0.08;"0";3
31;74400;"Hipotecada";11;"Empreendimento";"A";13000;7.88;"0";0.17;"0";10
22;55000;"Hipotecada";1;"Educativo";"B";12000;9.63;"0";0.22;"0";4
22;33685;"Hipotecada";6;"Educativo";"C";5000;13.85;"0";0.15;"0";3
24;38000;"Hipotecada";3;"Melhora do lar";"B";16000;10.99;"0";0.42;"0";3
26;38400;"Hipotecada";0;"Educativo";"C";10000;13.98;"0";0.26;"0";4
25;35000;"Alugada";1;"Empreendimento";"A";15000;7.49;"1";0.43;"0";3
38;54000;"Alugada";2;"Médico";"D";14000;0.0;"1";0.26;"0";17
51;60000;"Hipotecada";8;"Pessoal";"C";8000;13.48;"0";0.13;"1";23
23;85000;"Hipotecada";3;"Educativo";"B";15000;10.0;"0";0.18;"0";2
22;90000;"Hipotecada";6;"Educativo";"A";10000;7.88;"0";0.11;"0";3
37;186000;"Própria";7;"Empreendimento";"A";3000;6.39;"0";0.02;"0";17
24;39000;"Hipotecada";3;"Melhora do lar";"A";5600;5.42;"0";0.14;"0";4
25;90000;"Alugada";2;"Melhora do lar";"B";12000;11.48;"0";0.13;"0";3
27;32000;"Outros";10;"Educativo";"C";15000;0.0;"1";0.47;"0";7
28;32568;"Alugada";3;"Educativo";"D";15000;0.0;"1";0.46;"0";10
31;19968;"Alugada";1;"Educativo";"B";2500;9.62;"1";0.13;"0";6
21;53000;"Hipotecada";0;"Pessoal";"D";12000;13.24;"0";0.23;"0";2
22;105000;"Hipotecada";6;"Médico";"B";12800;11.83;"0";0.12;"0";2
23;14400;"Alugada";0;"Empreendimento";"B";4000;10.74;"1";0.28;"0";3
33;85000;"Hipotecada";0;"Pagamento de débitos";"C";5000;13.61;"0";0.06;"1";7
22;39000;"Alugada";0;"Melhora do lar";"B";7200;9.45;"1";0.18;"0";3
23;67000;"Própria";1;"Empreendimento";"A";3250;6.76;"0";0.05;"0";4
24;80000;"Hipotecada";6;"Pessoal";"A";16000;7.88;"0";0.2;"0";2
21;29760;"Alugada";1;"Pagamento de débitos";"B";8500;10.62;"0";0.29;"0";2
24;65000;"Alugada";6;"Educativo";"C";13000;13.49;"0";0.2;"1";2
31;91000;"Alugada";12;"Educativo";"A";4000;7.66;"0";0.04;"0";6
24;25632;"Hipotecada";4;"Educativo";"B";1500;9.91;"0";0.06;"0";3
24;142000;"Alugada";3;"Pagamento de débitos";"A";3000;7.88;"0";0.02;"0";2
22;39868;"Hipotecada";2;"Pagamento de débitos";"D";2400;16.02;"1";0.06;"1";4
24;55000;"Hipotecada";5;"Pessoal";"B";3100;11.71;"0";0.06;"0";2
